,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
1897,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
4101,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
6525,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
9198,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
12254,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
28065,1a477cc93e54a350a8f8f3cb8349385e57abf006,11/16/2015,PH,-34.65373451,-58.41254404,3261.17,190.35,46,4
32759,1a477cc93e54a350a8f8f3cb8349385e57abf006,11/16/2015,PH,-34.65373451,-58.41254404,3039.6,190.35,46,4
36974,1a477cc93e54a350a8f8f3cb8349385e57abf006,11/16/2015,PH,-34.65373451,-58.41254404,3039.6,190.35,46,4
47124,1a477cc93e54a350a8f8f3cb8349385e57abf006,11/16/2015,PH,-34.65373451,-58.41254404,3261.17,190.35,46,4
6178,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3299.25,190.99,24,4
8774,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3299.25,190.99,24,4
11757,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3299.25,190.99,24,4
15254,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3299.25,190.99,24,4
18967,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3272.13,190.99,24,4
23518,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3272.13,190.99,24,4
46995,b0a8f917f12b1bea253e9cc1c94836e4b9ec661a,5/11/2015,store,-34.643785,-58.365541,3272.13,190.99,24,4
9149,a6055d9657e4cf2bc72abf63a8289c6595f3953c,6/3/2015,apartment,-34.600626,-58.410368,3329.31,192.73,4,3
12193,a6055d9657e4cf2bc72abf63a8289c6595f3953c,6/3/2015,apartment,-34.600626,-58.410368,3329.31,192.73,4,3
15685,a6055d9657e4cf2bc72abf63a8289c6595f3953c,6/3/2015,apartment,-34.600626,-58.410368,3329.31,192.73,4,3
657,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
1836,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
3990,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
6422,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
9057,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
12071,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
15557,403c0f573d60728e497d8075ce014281905b6dcf,2/11/2015,store,-34.56315079,-58.45589515,3348.83,193.86,1,13
758,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
1914,fe535c6a128be87ca5c329dadd765353c5690518,2/3/2015,apartment,-34.5987327,-58.3690113,3377.16,195.5,48,1
