field_1,id_left,lat,lon,join_long,join_lat,join_id,join_object,join_name,distance
"251873",11210a708e34fcae93b00f8c83a75e9d318b3deb,-34.6068692,-58.3854335,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0823396552163292
"80195",08a7eaafb7e038967528699d1fd99e5821c626d8,-34.5976754,-58.441185,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0503568443129538
"96908",f0d0be59cbf6e18239a788f6d7423cc830064538,-34.5987268,-58.4416351,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0492132174063065
"118403",cfc752f5b5487b5d77667e0596d06fa716e41521,-34.5979593,-58.442389,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0496213678684419
"140013",a0c0bde06e9df05c128c57129fcd0dc46faa3f53,-34.597358,-58.441674,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0504533911139709
"141948",8ecd8edcdebd49bcc3da1c2143a230fc799912a2,-34.597358,-58.441674,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0504533911139709
"145474",fadb8bcecf515d7cb16f6ab750c5993adea87739,-34.5981228,-58.4407395,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0501305259091631
"154713",1e65a5f936698d4c7d9c086fb7cd46ce8acad68f,-34.5977231763,-58.4412745706,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0502770449510696
"177840",9abbfc2023c16b26c17ad9e6de8979259174b1f0,-34.5988996,-58.4417584,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0490053778563612
"184596",224acc99360816c0c8dbdb791076026a0eaa89e2,-34.5979699,-58.4411244,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0501120887420681
"205599",e6f05e34ec5ad954934cc0c6471cf241c56db3c7,-34.598074,-58.442332,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0495375442087104
"228620",94ae6f91ca829292dd76593ac59641ff6c42818e,-34.598074,-58.442332,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0495375442087104
"251099",ebe28c82c3ef1451b7fb156e6391b2c6caf5d017,-34.598074,-58.442332,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0495375442087104
"80209",789d7f2047b3a2b96bab7a9bcd39cce6cf36365b,-34.601129,-58.4458016,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0454232362752177
"90544",cafc14af6b1ffd0e287af80c2b5f8e63c8f77998,-34.59963121,-58.450268772,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0455300885663802
"107340",89b1d56d4455d2aa31dffef4eb8a43d143b7ed98,-34.6011661,-58.4468247,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0450449976664504
"137321",b401dae85e1cb9042f3a65b650bcd0ea9a37df2e,-34.6011604451,-58.446565512,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0451353895638714
"137342",701b4b9d42929e0e7db3ef99ba225d28d5b55379,-34.601175817,-58.4465385582,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0451298059536593
"145095",de43d9e6f0b36a74530f230f5a0a2e080e908ad1,-34.601484,-58.448069,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0443522657721131
"154057",6b1080e6ba740e4102d3d49387090066cd72b906,-34.6015486,-58.444994,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0453174047257125
"154058",b148f377b804342ba05de95ecb925e1e621b3d67,-34.6015486,-58.444994,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0453174047257125
"161259",2248061517c3efafe5971cf83fe51d89c6cf687c,-34.601484,-58.448069,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0443522657721131
"168983",0dc9965a4639587dc21626855355d7136bbc19c8,-34.6016954697,-58.4459102,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.044854217707158
"202787",47b6c7e1156c23878feb4396ea0adcfdbab010ac,-34.6,-58.45,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0452402880880107
"225223",992123f29380e5d57fb630877915d76857d27bee,-34.601118,-58.447287,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0449422358415368
"235133",0946c7de8fc572a7f4a465aaa902e1243b8c9c9f,-34.6002159,-58.4491513,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0452555118681475
"248068",9983bb4a78c5544f8f7f69ee71a58d102b9587e6,-34.6006495,-58.4483731,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0450588729243107
"80212",f1bd8e19ba932e69ed206d43b9ca94e2f7b5175b,-34.602406,-58.442335,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.04557220143811
"143898",53847e614c4d33fbfc95b2b893cb0d700083d5c1,-34.6030372,-58.4431124,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0446748644276288
