lat,long,id,object,name,comune
-34.6548670990032,-58.3795260056173,533,public WiFi location,Posta Digital - CMD,4
-34.6084660945371,-58.4350465839634,531,public WiFi location,Inst. de Zoonosis Luis Pasteur,6
-34.6097192799921,-58.4074178685168,530,public WiFi location,Estación Saludable Plaza Miserere,3
-34.6284891515178,-58.4636224864458,529,public WiFi location,Estación Saludable Plaza Flores,7
-34.6378829374324,-58.4059199094467,528,public WiFi location,Estación Saludable Parque Patricios,4
-34.5916779789863,-58.4481111164194,527,public WiFi location,Estación Saludable Parque Los Andes,15
-34.5976564671343,-58.4752130047154,525,public WiFi location,Htal. de Emerg. Psiquiátricas Torcuato de Alvear,15
-34.6432024419744,-58.4108974552092,524,public WiFi location,Htal. J. A. Penna,4
-34.6393032299615,-58.3843648643223,523,public WiFi location,Htal. de Salud Mental Braulio Moyano,4
-34.6391665336357,-58.4024121525409,522,public WiFi location,Centro del Distrito Tecnológico (Espacios de recepción al público),4
-34.5733898111286,-58.4145093167028,512,public WiFi location,Plaza Ramón Fernández,14
-34.640258803505,-58.4085884120845,511,public WiFi location,Pzta. Dr. Genaro Giacobini,4
-34.6445294775024,-58.4104745715627,510,public WiFi location,Plaza José C. Paz,4
-34.6422697864467,-58.4097209295311,509,public WiFi location,Parque Uriburu,4
-34.638963729305,-58.4089913501943,508,public WiFi location,Parque Patricios (Distrito Tecnológico),5
-34.6643661847337,-58.4668024158405,507,public WiFi location,Estación Saludable Parque Indoamericano,8
-34.6349495301177,-58.4397298258896,506,public WiFi location,Estación Saludable Parque Chacabuco,7
-34.6051255094866,-58.43456604098,505,public WiFi location,Estación Saludable Parque Centenario,6
-34.6453579639086,-58.4755730884447,504,public WiFi location,Estación Saludable Parque Avellaneda,9
-34.6269400252844,-58.382230244483,503,public WiFi location,Estación Saludable Constitución,1
-34.6044987708221,-58.4054498832977,502,public WiFi location,Estación Saludable Corrientes Línea H,3
-34.6147258053099,-58.4276435228447,500,public WiFi location,Htal. de Odontología  J. Dueñas,5
-34.5845100290469,-58.4026050472699,499,public WiFi location,Htal. Odontológico Dr. R. Carrillo (Ex Nacional),2
-34.553907886517,-58.4408846202799,498,public WiFi location,Htal. de Rehabilitación Psicofísica,13
-34.6366246934182,-58.3821666207014,497,public WiFi location,Htal. de Salud Mental J. Borda,4
-34.6241255739229,-58.4694760287131,496,public WiFi location,Htal. Alvarez,7
-34.5845643853643,-58.4008016124095,495,public WiFi location,Htal. Rivadavia,2
-34.6176346384995,-58.4095811667103,493,public WiFi location,Htal. Ramos Mejía,3
-34.6030823411655,-58.3809152482781,492,public WiFi location,Galería Pasaje Obelisco Norte,1
-34.6044996517548,-58.3808200499735,491,public WiFi location,Galería Pasaje Obelisco Sur,1
-34.581409024534,-58.4211985850197,489,public WiFi location,Estación Plaza Italia - Línea D,14
-34.5784163937198,-58.4257138598967,484,public WiFi location,Estación Palermo - Línea D,14
-34.5997546779529,-58.3979347569958,477,public WiFi location,Estación Facultad de Medicina - Línea D,3
-34.5979223885568,-58.37551917489,466,public WiFi location,Florida 870,1
-34.6017229371545,-58.3753948224462,465,public WiFi location,Florida 540,1
-34.607770081199,-58.3747963460282,462,public WiFi location,Florida 25,1
-34.6065376511491,-58.375838905154,461,public WiFi location,Subsecretaría Ciudad Inteligente,1
-34.6412710325493,-58.4069130256873,460,public WiFi location,Nueva Sede GCBA (Recepciones Público),4
-34.5715362374776,-58.4126537094449,459,public WiFi location,Estación Saludable Rosedal,14
-34.6087571006617,-58.3744623222062,458,public WiFi location,Estación Saludable Peru,1
-34.6069507914693,-58.3751324374879,456,public WiFi location,Estación Saludable Diagonal y Florida (Refuerzo),1
-34.6505898477812,-58.4318602389053,455,public WiFi location,SECHI PLAZA ROTONDA / ESPEJO,7
-34.6497929862705,-58.433346503365,452,public WiFi location,SECHI Nidito,7
-34.6507409020397,-58.4378712846774,451,public WiFi location,SECHI - Corredor Saludable Perito Moreno,4
-34.6211941479523,-58.3663126292929,446,public WiFi location,COPIDIS,1
-34.6277409870507,-58.3796335557595,445,public WiFi location,Estación Constitución,1
-34.5914273758394,-58.4502477016849,444,public WiFi location,Baldomero Fernández Moreno,15
-34.6033847196876,-58.4093596424251,443,public WiFi location,Pasaje Carlos Gardel,3
-34.5809046335167,-58.4197741740788,442,public WiFi location,Jardín Zoológico,14
-34.5976889032328,-58.4302299712055,440,public WiFi location,EMAD - Escuela Metropolitana de Arte Dramático,15
-34.6302498357574,-58.4669382206226,439,public WiFi location,Sede de Comuna 7,7
-34.680530730857,-58.4488644898114,438,public WiFi location,Estación Saludable SACTA,
-34.615598175299,-58.456522993909,436,public WiFi location,Plaza Irlanda - Centro de Jubilados,6
-34.6317707424733,-58.4009970869445,435,public WiFi location,Estación Jujuy,4
-34.6052778473174,-58.3819702457595,432,public WiFi location,Estación de Combis,1
-34.5775415770425,-58.426978337133,431,public WiFi location,Estación Saludable Pacífico,14
-34.5926733185879,-58.3741427089095,429,public WiFi location,Estación Saludable Retiro,1
-34.6381491094026,-58.4944126578934,428,public WiFi location,Centro de Día Nro. 27,10
-34.6442007919524,-58.412013617429,426,public WiFi location,Distrito Tecnológico Miriñay 3532,4
-34.6438312415118,-58.4117103927509,425,public WiFi location,Distrito Tecnológico Cortajarena 3514,4
-34.6429170762078,-58.4120568132717,424,public WiFi location,Distrito Tecnológico Dr. Prof. P. Chutro 3434,4
