barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
6,2016-03-31,14,903.4614285714285,0.0,0.0,727.66,1064.53,161.69678784008724
6,2016-04-30,25,2018.7479999999994,0.0,0.0,495.55,4771.75,1525.524069825405
6,2016-06-30,73,2668.5297260273965,0.0,9.0,394.61,11221.97,2332.9596631091517
6,2016-07-31,102,2230.631274509805,2.0,2.0,318.32,6990.6,1570.8460249257698
6,2016-08-31,50,4204.8176,7.0,14.0,346.44,16249.59,5595.05681583436
6,2016-09-30,49,879.3316326530611,5.0,0.0,274.67,3220.5,701.335532618978
6,2016-10-31,40,1598.0595,5.0,0.0,227.5,3488.93,989.5587309320481
6,2016-11-30,46,986.3721739130434,7.0,0.0,346.44,2560.0,631.4383617139981
6,2016-12-31,65,2125.1492307692306,0.0,0.0,500.98,4283.32,1202.0390142681877
6,2017-01-31,48,1415.0337499999998,4.0,0.0,311.56,3779.4,984.7036891534664
6,2017-02-28,56,1154.1462499999996,0.0,0.0,389.9,2519.6,666.1625886648026
6,2017-03-31,55,1413.8936363636365,0.0,0.0,390.53,3086.51,935.3252955253029
6,2017-04-30,70,3188.2927142857134,9.0,5.0,319.67,36000.0,8206.791171576173
6,2017-05-31,190,1530.0858421052646,16.0,7.0,251.96,9000.0,1375.7270254711584
6,2017-06-30,118,2664.207203389832,4.0,12.0,281.8,20000.0,4773.765426995685
6,2017-07-31,196,1886.1283163265305,7.0,17.0,330.89,9000.0,1901.2175570385177
6,2017-08-31,87,2098.3241379310343,1.0,13.0,368.78,8633.09,2345.8838654354963
6,2017-09-30,173,1772.3773988439318,5.0,5.0,287.76,12000.0,1942.7889767044292
6,2017-10-31,161,1481.1997515527946,3.0,7.0,340.25,9283.43,1684.1837748461232
6,2017-11-30,118,3385.293728813559,7.0,32.0,305.65,14000.0,3783.0589714379853
6,2017-12-31,102,2260.038921568628,7.0,7.0,316.49,20000.0,3498.9796639311558
6,2018-01-31,73,1029.7052054794522,6.0,1.0,326.63,9199.39,1270.6921601282568
6,2018-02-28,1,916.96,0.0,0.0,916.96,916.96,
7,2014-07-31,1,273.72,1.0,0.0,273.72,273.72,
7,2015-01-31,2,357.37,2.0,0.0,357.37,357.37,0.0
7,2015-02-28,1,385.27,0.0,0.0,385.27,385.27,
7,2015-04-30,1,719.04,0.0,0.0,719.04,719.04,
7,2015-05-31,12,1292.1558333333335,0.0,0.0,541.15,2011.17,499.1136411945833
7,2015-06-30,7,1198.58,0.0,0.0,1198.58,1198.58,0.0
7,2016-03-31,3,990.29,0.0,0.0,990.29,990.29,0.0
7,2016-04-30,7,1574.75,0.0,0.0,1574.75,1574.75,0.0
7,2016-08-31,16,507.79625000000016,0.0,0.0,409.43,1196.36,268.7877655418862
7,2016-09-30,13,1972.5438461538458,0.0,0.0,1878.69,2082.04,105.51313398012438
7,2016-11-30,2,879.85,0.0,0.0,879.85,879.85,0.0
7,2016-12-31,3,519.78,0.0,0.0,519.78,519.78,0.0
7,2017-01-31,3,532.29,0.0,0.0,532.29,532.29,0.0
7,2017-02-28,12,503.395,0.0,0.0,502.54,504.25,0.8930183750527156
7,2017-03-31,8,481.86999999999995,0.0,0.0,428.33,535.41,57.236667567964794
7,2017-04-30,13,449.03846153846155,4.0,0.0,364.54,629.9,104.25658866838693
7,2017-05-31,18,954.2472222222223,0.0,0.0,390.53,2519.6,802.223591626685
7,2017-06-30,7,1258.6242857142856,0.0,0.0,384.23,2330.63,870.7493451400953
7,2017-07-31,25,974.4399999999998,12.0,1.0,339.21,5608.36,1248.7290727442307
7,2017-08-31,3,476.78999999999996,1.0,0.0,287.76,575.53,163.75929378206294
7,2017-09-30,33,1192.1600000000005,5.0,0.0,258.99,3481.28,1047.7461545473457
7,2017-10-31,3,536.4,0.0,0.0,519.93,567.08,26.593677820113545
